Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
core.base_field_override.node.digital_heritage.draft:descriptionMark this item as a draft.,Mark this item as a draft.,x,x,,x
core.base_field_override.node.digital_heritage.draft:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.digital_heritage.draft:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.digital_heritage.field_citation:labelCitation,Citation,x,x,x,x
core.base_field_override.node.digital_heritage.field_citation:descriptionCitation for the item.,Citation for the item.,x,x,,x
core.base_field_override.node.digital_heritage.field_cultural_narrative:labelCultural Narrative,Cultural Narrative,x,x,x,x
"core.base_field_override.node.digital_heritage.field_cultural_narrative:descriptionCultural narratives include historical or social context, expert community knowledge, community stories, and other relevant cultural context for the digital heritage item. For example, if the item is a basket this field may contain a narrative from the basket­ maker about their technique, or it may tell a story contrasting how the baskets were used by previous generations and how they are used today. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.","Cultural narratives include historical or social context, expert community knowledge, community stories, and other relevant cultural context for the digital heritage item. For example, if the item is a basket this field may contain a narrative from the basket­ maker about their technique, or it may tell a story contrasting how the baskets were used by previous generations and how they are used today. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.",x,x,,x
core.base_field_override.node.digital_heritage.field_cultural_protocols:labelCultural Protocols,Cultural Protocols,x,x,x,x
core.base_field_override.node.digital_heritage.field_date_description:labelDate Description,Date Description,x,x,x,x
"core.base_field_override.node.digital_heritage.field_date_description:descriptionUsed to supplement the original date field, or when a precise creation date of the media asset or information represented in the digital heritage item is not known. Examples include ""Summer 1995"" and ""circa 1800s"". </br>Maximum 255 characters.","Used to supplement the original date field, or when a precise creation date of the media asset or information represented in the digital heritage item is not known. Examples include ""Summer 1995"" and ""circa 1800s"". </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.digital_heritage.field_description:labelDescription,Description,x,x,x,x
"core.base_field_override.node.digital_heritage.field_description:descriptionDescriptions provide an account, explanation, or description of the digital heritage item or media asset. This may include physical characteristics, content information, an explanation of what is depicted, digitization and processing information, general notes, and any other relevant information that does not fit into a more structured field. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.","Descriptions provide an account, explanation, or description of the digital heritage item or media asset. This may include physical characteristics, content information, an explanation of what is depicted, digitization and processing information, general notes, and any other relevant information that does not fit into a more structured field. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.",x,x,,x
core.base_field_override.node.digital_heritage.field_external_links:labelExternal Links,External Links,x,x,x,x
"core.base_field_override.node.digital_heritage.field_external_links:descriptionLinks to other records or websites where the digital heritage item is available online, or to other related websites. Examples include the online catalog of the holding repository, or the publisher's listing. </br>To include additional links, select ""Add another item"".","Links to other records or websites where the digital heritage item is available online, or to other related websites. Examples include the online catalog of the holding repository, or the publisher's listing. </br>To include additional links, select ""Add another item"".",x,x,,x
core.base_field_override.node.digital_heritage.field_rights_and_usage:labelRights and Usage,Rights and Usage,x,x,x,x
"core.base_field_override.node.digital_heritage.field_rights_and_usage:descriptionA statement about the appropriate rights and usage regarding the digital heritage item, media asset, or presented knowledge. This may include identifying the legal or traditional rights holder. If the rights holder should be contacted for permission to use, reproduce, circulate, reference, or cite the item, provide their contact information. </br>Maximum 255 characters.","A statement about the appropriate rights and usage regarding the digital heritage item, media asset, or presented knowledge. This may include identifying the legal or traditional rights holder. If the rights holder should be contacted for permission to use, reproduce, circulate, reference, or cite the item, provide their contact information. </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.digital_heritage.field_source:labelSource,Source,x,x,x,x
"core.base_field_override.node.digital_heritage.field_source:descriptionSource provides a reference to the resource, collection, or institution where the digital heritage item is held, described, originated, or contributed. Examples include collections (e.g., “McWhorter Collection”), institutions (e.g.,: “Library of Congress, American Folklife Center), or donors (e.g.,: “Donated by John Smith”). </br>Maximum 255 characters.","Source provides a reference to the resource, collection, or institution where the digital heritage item is held, described, originated, or contributed. Examples include collections (e.g., “McWhorter Collection”), institutions (e.g.,: “Library of Congress, American Folklife Center), or donors (e.g.,: “Donated by John Smith”). </br>Maximum 255 characters.",x,x,,x
core.base_field_override.node.digital_heritage.field_summary:labelSummary,Summary,x,x,x,x
core.base_field_override.node.digital_heritage.field_summary:descriptionA short summary of the digital heritage item. The summary should supplement the title and help distinguish between similar items. The summary is displayed as part of the item preview when browsing the site. </br>Maximum 255 characters.,A short summary of the digital heritage item. The summary should supplement the title and help distinguish between similar items. The summary is displayed as part of the item preview when browsing the site. </br>Maximum 255 characters.,x,x,,x
core.base_field_override.node.digital_heritage.field_traditional_knowledge:labelTraditional Knowledge,Traditional Knowledge,x,x,x,x
"core.base_field_override.node.digital_heritage.field_traditional_knowledge:descriptionTraditional knowledge includes in-­depth community-specific knowledge about the digital heritage item. It is often used to provide information of social, spiritual, or esoteric significance. For example, if the item is a basket, this field may contain community, tribe, or clan-specific knowledge about the significance of design that is not widely known or that is specific that that community. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.","Traditional knowledge includes in-­depth community-specific knowledge about the digital heritage item. It is often used to provide information of social, spiritual, or esoteric significance. For example, if the item is a basket, this field may contain community, tribe, or clan-specific knowledge about the significance of design that is not widely known or that is specific that that community. </br>This HTML field can support rich text and embedded media assets using the editing toolbar.",x,x,,x
core.base_field_override.node.digital_heritage.field_transcription:labelTranscription,Transcription,x,x,x,x
"core.base_field_override.node.digital_heritage.field_transcription:descriptionA basic text transcription of an audio or video recording, or of text in an image or document. Including a transcription allows the text to be discoverable when searching for digital heritage items.","A basic text transcription of an audio or video recording, or of text in an image or document. Including a transcription allows the text to be discoverable when searching for digital heritage items.",x,x,,x
core.base_field_override.node.digital_heritage.menu_link:labelMenu link,Menu link,x,x,,x
core.base_field_override.node.digital_heritage.menu_link:descriptionComputed menu link for the node (only available during node saving).,Computed menu link for the node (only available during node saving).,x,x,,x
core.base_field_override.node.digital_heritage.path:labelURL alias,URL alias,x,x,,x
core.base_field_override.node.digital_heritage.promote:labelPromoted to front page,Promoted to front page,x,x,,x
core.base_field_override.node.digital_heritage.promote:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.digital_heritage.promote:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.digital_heritage.status:labelPublished,Published,x,x,,x
core.base_field_override.node.digital_heritage.status:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.digital_heritage.status:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.digital_heritage.sticky:labelSticky at top of lists,Sticky at top of lists,x,x,,x
core.base_field_override.node.digital_heritage.sticky:settings:on_labelOn,On,x,x,,x
core.base_field_override.node.digital_heritage.sticky:settings:off_labelOff,Off,x,x,,x
core.base_field_override.node.digital_heritage.title:labelTitle,Title,x,x,x,x
